CODIGO|NOME|DTINICIO|DTFIM|natRubr|tpRubr|codIncCP|codIncIRRF|codIncFGTS|codIncSIND|repDSR|rep13|repFerias|repResc|repAfast|fatorRubr|LOCALAPLIC|Domestica|SE|Geral|DESCRICAO|NOTA|ordRescDom|PerAdicRub|ordRemDom|repSFDom|PerFolRes|PerEditRub|PerExcRub|FilCatRub|grupRendDom|codIncCPRP|codIncPisPasep|RDConsignado
eSocial1420|Gratificação de função|01012014||1201|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor pago ao empregado por ocupar cargo ou função comissionada|||S||S|N|S|S||31|0|0|S
eSocial1430|Prêmios|01012014|30042018|2501|1|11|11|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente a prêmios diversos pagos ao trabalhador.||29|S|34|S|N|S|S||31|0|0|N
eSocial1430|Prêmios|01052018||2501|1|0|11|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Valor referente a prêmios diversos pagos ao trabalhador.||29|S|34|S|N|S|S||31|0|0|S
eSocial1440|Gratificação por acordo ou convenção coletiva|01012014||1210|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|S|S|Verba estabelecida em acordo ou convenção coletiva de trabalho|||S||S|N|S|S||31|0|0|S
eSocial1500|Gorjetas|01012014||1209|1|11|11|11|0|N|S|S|N|S||S-1200-M;S-2299|N|N|N|Valor referente às gorjetas pagas por clientes diretamente ao empregado, ou repassadas pelo empregador.|||S||S|N|S|S||31|0|0|S
eSocial1510|Direitos intelectuais|01012014||2510|1|0|11|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor pago ao empregado em razão de sua participação em produção científica, intelectual ou artística.|||S||N|N|S|S||31|0|0|N
eSocial1520|Gueltas|01012014||1208|1|11|11|11|0|N|S|S|N|S||S-1200-M;S-2299|N|N|N|Valor pago pelo fabricante (ou prestador de serviço) ao empregado vendedor (de outra empresa) como incentivo pela venda de produto, marca ou serviço.|||S||S|N|S|S||31|0|0|S
eSocial1550|Vale-Transporte - Adiantamento pago em dinheiro|01012014|30062021|1810|1|0|0|0|0|N|N|N|N|N||S-1200-M|S|S|S|Valor pago antecipadamente ao empregado, em dinheiro, para custeio das passagens decorrentes do deslocamento residência-trabalho e vice-versa.|||S|3|N|N|S|S|||0|0|N
eSocial1550|Vale-Transporte - Adiantamento pago em dinheiro|01072021||1810|1|0|9|0|0|N|N|N|N|N||S-1200-M|S|S|S|Valor pago antecipadamente ao empregado, em dinheiro, para custeio das passagens decorrentes do deslocamento residência-trabalho e vice-versa.|||S|3|N|N|S|S|||0|0|N
eSocial1561|Alimentação - Pecúnia|01012014||1800|1|11|11|11|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Alimentação - Pecúnia|||S||N|N|S|S||31|0|0|S
