CodCNAEMEI|Descricao|DtInicio|DtTermino|CodCNAE
3314702|Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas|01072016||3314702
3314706|Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas|01072016||3314706
3314707|Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial|01072016||3314707
3314709|Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório|01072016||3314709
3314710|Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente|01072016||3314710
3314711|Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária|01072016||3314711
3314712|Manutenção e reparação de tratores agrícolas|01072016||3314712
3314719|Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo|01072016||3314719
3314720|Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados|01072016||3314720
3314799|Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente|01072016||3314799
3317102|Manutenção e reparação de embarcações para esporte e lazer|01072016||3317102
3319800|Manutenção e reparação de equipamentos e produtos não especificados anteriormente|01072016||3319800
3321000|Instalação de máquinas e equipamentos industriais|01072016||3321000
3329501|Serviços de montagem de móveis de qualquer material|01072016||3329501
3600602|Distribuição de água por caminhões|01072016||3600602
3702900|Atividades relacionadas a esgoto, exceto a gestão de redes|01072016||3702900
3811400|Coleta de resíduos não-perigosos|01072016||3811400
3812200|Coleta de resíduos perigosos|01072016||3812200
3831901|Recuperação de sucatas de alumínio|01072016||3831901
3831999|Recuperação de materiais metálicos, exceto alumínio|01072016||3831999
3832700|Recuperação de materiais plásticos|01072016||3832700
3839499|Recuperação de materiais não especificados anteriormente|01072016||3839499
4321500|Instalação e manutenção elétrica|01072016||4321500
4322301|Instalações hidráulicas, sanitárias e de gás|01072016||4322301
4322302|Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração|01072016||4322302
4322303|Instalações de sistema de prevenção contra incêndio|01072016||4322303
4329101|Instalação de painéis publicitários|01072016||4329101
4329102|Instalação de equipamentos para orientação à navegação marítima fluvial e lacustre|01072016||4329102
4329103|Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes|01072016||4329103
4329104|Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos|01072016||4329104
4329105|Tratamentos térmicos, acústicos ou de vibração|01072016||4329105
4330402|Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material|01072016||4330402
4330403|Obras de acabamento em gesso e estuque|01072016||4330403
4330404|Serviços de pintura de edifícios em geral|01072016||4330404
4330405|Aplicação de revestimentos e de resinas em interiores e exteriores|01072016||4330405
4330499|Outras obras de acabamento da construção|01072016||4330499
4399103|Obras de alvenaria|01072016||4399103
4399105|Perfuração e construção de poços de água|01072016||4399105
4399199|Serviços especializados para construção não especificados anteriormente|01072016||4399199
4520001|Serviços de manutenção e reparação mecânica de veículos automotores|01072016||4520001
4520002|Serviços de lanternagem ou funilaria e pintura de veículos automotores|01072016||4520002
4520003|Serviços de manutenção e reparação elétrica de veículos automotores|01072016||4520003
