Processo|NumeroInscricao|DtInicio|DtFim
1711010023793011|58852518001024|01012018|
1711090023794011|20556704000152|01012018|
1711140023795011|89850341001212|01012018|
1711140023796011|20294088000109|01012018|
1711130023797011|71448260000172|01012018|
1711140023798021|89673164000193|01012018|
1711140023799011|17393547000105|01012018|
1711130023800011|07298800000180|01012018|
1711130023801011|08745465000183|01012018|
1711140023802011|02151955000175|01012018|
1711140023803011|47067525014672|01012018|
1711140023805011|90347840000380|01012018|
1711140023806011|90347840000541|01012018|
1711140023807011|90347840000703|01012018|
1711140023808011|90347840000894|01012018|
1711140023809011|00099708000141|01012018|
1711140023810011|90347840001785|01012018|
1711140023811011|90347840002080|01012018|
1711140023812011|47067525007897|01012018|
1711140023813011|90347840002242|01012018|
1711140023814011|90347840002595|01012018|
1711140023815011|90347840004296|01012018|
1711080023816011|61246245000198|01012018|
1711140023817011|90347840005268|01012018|
1711140023818011|90347840006582|01012018|
1711140023819011|90347840006663|01012018|
1711140023820011|90347840006906|01012018|
1711140023822011|19157650001064|01012018|
1711140023821021|87612834000136|01012018|
1711140023823011|10279522000209|01012018|
1711140023824011|05488486000172|01012018|
1711150023825011|02646208000108|01012018|
1711140023826011|59748988000114|01012018|
1711050023827011|77167203000100|01012018|
1711080023828011|76635689000192|01012018|
1711080023829011|76635689001245|01012018|
1711080023830011|76635689001598|01012018|
1711110023831011|07976147000594|01012018|
1711110023832011|07976147002104|01012018|
1711150023833011|07976147002538|01012018|
1711110023834011|07976147002880|01012018|
1711150023835011|07976147003429|01012018|
1711150023836011|07976147003771|01012018|
1711110023837011|07976147004310|01012018|
1711150023838011|07976147004409|01012018|
1711150023839011|07976147005715|01012018|
1711150023840011|07976147005804|01012018|
1711150023841011|07976147006363|01012018|
1711030023842011|83930214000194|01012018|
1711030023844011|83892174000133|01012018|
1711050023845011|06129569000219|01012018|
1711110023846011|10965693000887|01012018|
1711110023847011|10965693001263|01012018|
1711110023848011|10965693001344|01012018|
1711110023849011|10965693001425|01012018|
1711090023850011|59965038000222|01012018|
1711090023851011|59965038000818|01012018|
1711090023852011|59965038001202|01012018|
1711090023853011|59965038002357|01012018|
1711090023854011|59965038004139|01012018|
1711090023855011|59965038004481|01012018|
1711150023856011|09011730000324|01012018|
1711150023857011|09011730000910|01012018|
1711140023858011|47067525007200|01012018|
1711140023804021|47067525005410|01012018|
1711080023859011|66482613000110|01012018|
1711160023860011|27075910000351|01012018|
1711080023861011|02904034000136|01012018|
1711160023862011|01838723015310|01012018|
1711080023863011|66494923000155|01012018|
1711060023864011|01838723015400|01012018|
1711160023865011|15171093000194|01012018|
1711160023866011|01838723021396|01012018|
1711160023867011|87723474000140|01012018|
1711160023868011|01838723022449|01012018|
1711160023869011|01838723026940|01012018|
1711160023870011|80002884000152|01012018|
1711160023871011|01838723028056|01012018|
1711160023872011|01838723025979|01012018|
1711140023873011|05268526000332|01012018|
1711160023874011|04813138000160|01012018|
1711160023877011|05268526000502|01012018|
1711160023879011|05268526000685|01012018|
1711160023880011|01203327000123|01012018|
1711130023881011|44373108000103|01012018|
1711160023882011|05268526001223|01012018|
1711160023883011|01838723011838|01012018|
1711160023884011|44214708000200|01012018|
1711160023885011|01838723018921|01012018|
1711160023886011|61074829001103|01012018|
1711160023887011|84686443000178|01012018|
1711160023888011|05268526001304|01012018|
1711160023889011|01838723017100|01012018|
1711160023891011|01838723001875|01012018|
1711150023878021|54516661000284|01012018|
1711160023892011|01838723002090|01012018|
1711160023893011|01838723006672|01012018|
1711160023894011|05268526000928|01012018|
1711160023895011|02592047000117|01012018|
1711160023897011|16551249000125|01012018|
1711160023898011|03977136000144|01012018|
1711160023899011|49401052000169|01012018|
1711130023900011|76902204000180|01012018|
1711080023901011|00924429000175|01012018|
1711160023902011|03290201000169|01012018|
1711160023903011|00924429000337|01012018|
1711160023904011|19540653000191|01012018|
1711160023905011|00924429000922|01012018|
1711030023906011|58163767000111|01012018|
1711160023907011|90393687000165|01012018|
1711160023908011|77856995000111|01012018|
1711160023909011|77856995000979|01012018|
1711160023910011|00960572000112|01012018|
1711160023911011|77856995001789|01012018|
1711160023913011|77856995002327|01012018|
1711140023912021|44803922000102|01012018|
1711160023914011|77856995003560|01012018|
1711160023915011|77856995000464|01012018|
1711140023916011|11124629001050|01012018|
1711160023917011|11124629000836|01012018|
1711160023918011|45273406000186|01012018|
1711160023919011|01838723037632|01012018|
1711160023921011|01838723033998|01012018|
