CODIGO|DESCRICAO|DTINICIO|DTFIM
0431|Complemento CH-100|01012014|
0432|Complemento CH-50|01012014|
0433|Composto S (11-desoxicortisol)|01012014|
0434|Consumo de protrombina|01012014|
0435|Contagem de eosinófilos|01012014|
0436|Contagem sanguínea diferencial|01012014|
0437|Contagem sedimentar de Addis|01012014|
0438|Contracaecum (pesquisa)|01012014|
0439|Coombs direto|01012014|
0440|Coombs indireto|01012014|
0441|Coprológico funcional (caracteres, pH, digestibilidade, amônia, ácidos orgânicos e interpretação)|01012014|
0442|Coproporfirina III na urina|01012014|
0443|Coproporfirinas|01012014|
0444|Coronavírus (pesquisa)|01012014|
0445|Coronavírus humano 229E (pesquisa)|01012014|
0446|Coronavírus relacionado à MERS (pesquisa)|01012014|
0447|Coronavírus relacionado à SARS (pesquisa)|01012014|
1419|Coronavírus/COVID-19 - SARS-CoV-2 - IgA|01012014|
1420|Coronavírus/COVID-19 - SARS-CoV-2 - IgG|01012014|
1421|Coronavírus/COVID-19 - SARS-CoV-2 - IgM|01012014|
1422|Coronavírus/COVID-19 - SARS-CoV-2 - Pesquisa de antígeno|01012014|
1423|Coronavírus/COVID-19 - SARS-CoV-2 - RT-PCR|01012014|
0448|Corpos cetônicos na urina|01012014|
0449|Corpúsculos de Donovani|01012014|
0450|Cortisol|01012014|
0451|Cortisol livre|01012014|
0452|Corynebacterium (pesquisa)|01012014|
0453|Cotinina|01012014|
0454|Coxiella (pesquisa)|01012014|
0455|Creatina|01012014|
0456|Creatinina|01012014|
0457|Creatino fosfoquinase - Fração MB|01012014|
0458|Creatino fosfoquinase total (CK)|01012014|
0459|Cresol urinário|01012014|
0460|Crioaglutinina|01012014|
0461|Crioglobulinas|01012014|
0462|Criptococo (tinta da China), pesquisa de|01012014|
0463|Cromatografia de açúcares na urina|01012014|
0464|Cromatografia de aminoácidos|01012014|
0465|Cromo eritrocitário|01012014|
0466|Cromo sanguíneo|01012014|
0467|Cromo urinário|01012014|
0468|Cromossomo philadelfia|01012014|
0469|Cryptococcus (pesquisa)|01012014|
0470|Cryptosporidium (pesquisa)|01012014|
0471|Cultura bacteriana|01012014|
1403|Cultura de urina (urocultura)|01012014|
0472|Cultura nas fezes: salmonela, shigellae e E. coli enteropatogênicas, enteroinvasora (sorol. incluída) + campylobacter SP. + E. coli enterohemorrágica|01012014|
0473|Cultura para bactérias anaeróbicas|01012014|
0474|Cultura para Criptosporidium|01012014|
0475|Cultura para fungos|01012014|
0476|Cultura para mycobacterium|01012014|
0477|Cultura quantitativa de secreções pulmonares|01012014|
0478|Curva glicêmica|01012014|
0479|Curva insulínica|01012014|
0480|Cyclospora (pesquisa)|01012014|
0481|Dehidroepiandrosterona (DHEA)|01012014|
0482|Dehidrotestosterona (DHT)|01012014|
0483|Dengue - IgG|01012014|
0484|Dengue - IgM|01012014|
0485|Desidrogenase alfa-hidroxibutírica|01012014|
0486|Desidrogenase glutâmica|01012014|
0487|Desidrogenase isocítrica|01012014|
0488|Desidrogenase láctica|01012014|
0489|Desipramina|01012014|
0490|Desoxicorticosterona|01012014|
0491|Dialdeído malônico|01012014|
0492|Diclorodifenil tricloroetano (DDT) sanguíneo|01012014|
0493|Diclorodifenildicloroetileno (DDE) sanguíneo|01012014|
0494|Dicloroetano|01012014|
0495|Dicloroeteno|01012014|
0496|Diclorometano|01012014|
0497|Dicrocoelium (pesquisa)|01012014|
0498|Dieldrin sanguíneo|01012014|
0499|Dientamoeba (pesquisa)|01012014|
0500|Dietilditiofosfato|01012014|
0501|Dietilditiofosfato urinário (DEDTP)|01012014|
0502|Dietilestilbestrol|01012014|
0503|Dietilfosfato|01012014|
0504|Dietilfosfato urinário (DEP)|01012014|
0505|Dietilltiofosfato urinário (DETP)|01012014|
0506|Dietiltiofosfato|01012014|
0507|Digitoxina ou digoxina|01012014|
0508|Dímero D|01012014|
0509|Dimetilditiofosfato|01012014|
0510|Dimetilditiofosfato urinário (DMDTP)|01012014|
0511|Dimetilfosfato|01012014|
0512|Dimetilfosfato urinário (DMP)|01012014|
0513|Dimetil-selênio respiratório (ar expirado)|01012014|
0514|Dimetiltiofosfato|01012014|
0515|Dimetiltiofosfato urinário (DMTP)|01012014|
0516|Di-n-butil fosfato|01012014|
0517|Dinitrato-etileno-glicol|01012014|
0518|Dinitrofenol|01012014|
0519|Dinoseb|01012014|
0520|Dipetalonema (pesquisa)|01012014|
0521|Diphyllobothrium (pesquisa)|01012014|
0522|Diquat urinário|01012014|
0523|Dissulfeto de carbono|01012014|
0524|DNCB Teste de Contato|01012014|
0525|Doppler colorido arterial de membro inferior|01012014|
0526|Doppler colorido arterial de membro superior|01012014|
0527|Dosagem de receptor de progesterona ou de estrogênio|01012014|
0528|Dracunculus (pesquisa)|01012014|
0529|Ebola (pesquisa)|01012014|
0530|ECG (Eletrocardiograma) convencional de até 12 derivações|01012014|
0531|ECG (Eletrocardiograma) de alta resolução|01012014|
0532|Echinococcus (pesquisa)|01012014|
0533|Echovírus (painel), sorologia para|01012014|
0534|Echovírus (pesquisa)|01012014|
0535|Edwardsiella (pesquisa)|01012014|
0536|EEG (Eletroencefalograma) de rotina|01012014|
0537|Ehrlichia (pesquisa)|01012014|
0538|Eikenella (pesquisa)|01012014|
0540|Eletroforese de glicoproteínas|01012014|
0541|Eletroforese de lipoproteínas|01012014|
0539|Eletroforese de proteínas|01012014|
0542|Eletroforese de proteínas urinárias|01012014|
0543|Eletroneuromiografia de MMII|01012014|
0544|Eletroneuromiografia de MMSS|01012014|
0545|Elizabethkingia (pesquisa)|01012014|
0546|Emmonsia (pesquisa)|01012014|
0547|Encefalite japonesa B (pesquisa)|01012014|
0548|Encephalitozoon (pesquisa)|01012014|
0549|Endotoxinas (pesquisa)|01012014|
0550|Endrin sanguíneo|01012014|
0551|Enolase|01012014|
0552|Entamoeba (pesquisa)|01012014|
0553|Enterobacter (pesquisa)|01012014|
0554|Enterobius (pesquisa)|01012014|
0555|Enterococcus (pesquisa)|01012014|
0556|Enterocytozoon (pesquisa)|01012014|
0557|Enterovírus humano A, B e C (pesquisa)|01012014|
0558|Enzima conversora da angiotensina (ECA)|01012014|
0559|Enzimas eritrocitárias|01012014|
0560|Epidermophyton (pesquisa)|01012014|
0561|Equinococose (hidatidose), reação|01012014|
0562|Ergoespirometria ou teste cardiopulmonar de exercício completo (espirometria forçada, consumo de O2, produção de CO2 e derivados, ECG, oximetria)|01012014|
0563|Eritropoietina|01012014|
0564|Erysipelothrix (pesquisa)|01012014|
0565|Escândio urinário|01012014|
0566|Escherichia (pesquisa)|01012014|
0567|Escherichia coli (pesquisa)|01012014|
0568|Espermograma|01012014|
0569|Esplenograma (citologia)|01012014|
0570|Esporotricose, reação sorológica|01012014|
0571|Esporotriquina|01012014|
0572|Estanho urinário|01012014|
0573|Estireno sanguíneo|01012014|
1427|Estireno urinário|01012014|
0574|Estradiol|01012014|
0575|Estreptozima|01012014|
0576|Estriol|01012014|
0577|Estrogênios totais (fenolesteroides)|01012014|
0578|Estrona|01012014|
0579|Estrôncio urinário|01012014|
0580|Etanol|01012014|
0581|Etilenotioureia (ETU)|01012014|
0582|Etossuximida|01012014|
0583|Exame a fresco de amostra biológica|01012014|
0584|Exame bacteriológico de fezes|01012014|
0585|Exame de fundo de olho|01012014|
1432|Exame oftalmológico com avaliação de retina e/ou cristalino|01012014|
0586|Exophiala (pesquisa)|01012014|
0587|Falcização, teste de|01012014|
0588|Fasciola (pesquisa)|01012014|
0589|Fasciolopsis (pesquisa)|01012014|
0590|Fator 4 plaquetário|01012014|
0591|Fator antinúcleo (FAN)|01012014|
0592|Fator II|01012014|
0593|Fator IX|01012014|
0594|Fator reumatoide|01012014|
0595|Fator V|01012014|
0597|Fator VII|01012014|
0598|Fator VIII|01012014|
0599|Fator VIII, dosagem do antígeno (Von Willebrand)|01012014|
0600|Fator VIII, dosagem do inibidor|01012014|
0601|Fator X|01012014|
0602|Fator XI|01012014|
0603|Fator XII|01012014|
0604|Fator XIII|01012014|
